Order	Family	Sp1	Sp2	Condition	Reference
Diptera	Agromyzidae	Liriomyza sativae	Liriomyza trifolii	Laboratory	Tokumaru, S; Abe, Y, 2005
Diptera	Calliphoridae	Chrysomya megacephala	Chrysomya saffranea	Field	Nelson, LA; Wallman, JF; Dowton, M, 2007
Diptera	Calliphoridae	Lucilia sericata	Lucilia cuprina	Field	Williams, K; Villet, MH, 2013
Diptera	Chironomidae	Chironomus plumosus	Chironomus balatonicus	Laboratory	MICHAILOVA, P, 1987
Diptera	Chironomidae	Chironomus plumosus	Chironomus behningi	Field	Polukonova, NV; Beljanina, SI, 2002
Diptera	Chironomidae	Chironomus plumosus	Chironomus muratensis	Field	Markiyanova, MF, 2016
Diptera	Chironomidae	Chironomus plumosus	Chironomus vancouveri	Laboratory	MICHAILOVA, P, 1987
Diptera	Chironomidae	Chironomus riparius	Chironomus piger	Field	Foucault, Q; Wieser, A; Heumann-Kiesler, C; Diogo, J; Cocchiararo, B; Nowak, C; Waldvogel, AM; Pfenninger, M, 2019
Diptera	Chironomidae	Chironomus tentans	Chironomus pallidivittatus	Field	Martin, J; Guryev, V; Blinov, A, 2002
Diptera	Chironomidae	Glyptotendipes glaucus	Glyptotendipes pallens	Field	Michailova, PV, 1996
Diptera	Chironomidae	Glyptotendipes pallens	Glyptotendipes glaucus	Field	Michailova, P; Warchalowska-Sliwa, E; Kownacki, A, 2001
Diptera	Chironomidae	Glyptotendipes salinus	Glyptotendipes barbipes	Laboratory	MICHAILOVA, P; BELCHEVA, R, 1989
Diptera	Culicidae	Aedes ashworthi	Aedes australis	Laboratory	Brust, RA; Mahon, RJ, 1997
Diptera	Culicidae	Aedes brelandi	Aedes zoosophus	Laboratory	TAYLOR, DB, 1990
Diptera	Culicidae	Aedes hendersoni	Aedes zoosophus	Laboratory	TAYLOR, DB, 1990
Diptera	Culicidae	Aedes triseriatus	Aedes zoosophus	Laboratory	TAYLOR, DB, 1990
Diptera	Culicidae	Anopheles albitarsis	Anopheles deaneorum	Laboratory	Lima, JBP; Valle, D; Peixoto, AA, 2004
Diptera	Culicidae	Anopheles beklemishevi	Anopheles atroparvus	Laboratory	Novikov, YM, 2016
Diptera	Culicidae	Anopheles coluzzii	Anopheles arabiensis	Field	Zoure, AA; Noel, G; Sombie, A; Somda, Z; Badolo, A; Francis, F, 2020
Diptera	Culicidae	Anopheles coluzzii	Anopheles quadriannulatus	Laboratory	Deitz, KC; Takken, W; Slotman, MA, 2018
Diptera	Culicidae	Anopheles gambiae	Anopheles arabiensis	Field	Mawejje, HD; Wilding, CS; Rippon, EJ; Hughes, A; Weetman, D; Donnelly, MJ
Diptera	Culicidae	Anopheles gambiae	Anopheles coluzzii	Field	Oduwole, OA; Oringanje, CM; Oduola, AO; Nwachuku, NS; Meremikwu, MM; Alaribe, AAA, 2020
Diptera	Culicidae	Anopheles gambiae	Anopheles quadriannulatus	Laboratory	Pates, HV; Curtis, CF; Takken, W, 2014
Diptera	Culicidae	Anopheles maculatus	Anopheles willmori	Laboratory	Somboon, P; Thongwat, D; Morgan, K; Walton, C, 2008
Diptera	Culicidae	Anopheles melas	Anopheles arabiensis	Laboratory	OKEREKE, TA, 1980
Diptera	Culicidae	Anopheles melas	Anopheles gambiae	Laboratory	OKEREKE, TA, 1980
Diptera	Culicidae	Anopheles minimus	Anopheles aconitus	Laboratory	SUCHARIT, S; CHOOCHOTE, W, 1982
Diptera	Culicidae	Anopheles sinensis	Anopheles kleini	Field	Choochote, W; Min, GS; Intapan, PM; Tantrawatpan, C; Saeung, A; Lulitanond, V, 2014
Diptera	Culicidae	Culex pipiens	Culex quinquefasciatus	Field	ALMIRON, WR; HUMERES, SG; GARDENAL, CN, 1995
Diptera	Culicidae	Ochlerotatus triseriatus	Ochlerotatus hendersoni	Laboratory	Anderson, JR; Schneider, JR; Grimstad, PR; Severson, DW, 2006
Diptera	Culicidae	Psorophora columbiae	Psorophora toltecum	Field	Lanzaro, GC; Collier, TC; Lee, Y, 2015
Diptera	Drosophilidae	Drosophila bipectinata	Drosophila malerkotliana	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila bipectinata	Drosophila parabipectinata	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila bipectinata	Drosophila pseudoananassae	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila buzzatii	Drosophila koepferae	Laboratory	Soto, EM; Soto, IM; Carreira, VP; Fanara, JJ; Hasson, E, 2008
Diptera	Drosophilidae	Drosophila ezoana	Drosophila montana	Field	Andrianov, BV; Romanov, DA; Sorokina, SY; Gorelova, TV, 2019
Diptera	Drosophilidae	Drosophila gouveai	Drosophila antonietae	Laboratory	Soto, IM; Carreira, VP; Corio, C; Soto, EM; Hasson, E, 2010
Diptera	Drosophilidae	Drosophila koepferae	Drosophila antonietae	Laboratory	Colines, B; Soto, IM; de Panis, DN; Padro, J, 2018
Diptera	Drosophilidae	Drosophila lutescens	Drosophila takahashii	Laboratory	Hori, Y; Kimura, MT, 1998
Diptera	Drosophilidae	Drosophila malerkotliana	Drosophila pseudoananassae	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila melanogaster	Drosophila simulans	Laboratory	MORETEAU, B; PETAVY, G; GIBERT, P; MORIN, JP; MUNOZ, A; DAVID, JR, 1995
Diptera	Drosophilidae	Drosophila montana	Drosophila lacicola	Field	Andrianov, BV; Romanov, DA; Sorokina, SY; Gorelova, TV, 2019
Diptera	Drosophilidae	Drosophila orientacea	Drosophila testacea	Laboratory	GRIMALDI, D; JAMES, AC; JAENIKE, J, 1992
Diptera	Drosophilidae	Drosophila parabipectinata	Drosophila malerkotliana	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila parabipectinata	Drosophila pseudoananassae	Laboratory	Mishra, PK; Singh, BN, 2006
Diptera	Drosophilidae	Drosophila parapallidosa	Drosophila ananassae	Field	Hama, Y; Lee, CY; Matsuda, M; Kamimura, Y; Sawamura, K, 2020
Diptera	Drosophilidae	Drosophila silvestris	Drosophila heteroneura	Laboratory	PRICE, DK; BOAKE, CRB, 1995
Diptera	Drosophilidae	Zaprionus burlai	Zaprionus tuberculatus	Laboratory	Yassin, A, 2008
Diptera	Glossinidae	Glossina swynnertoni	Glossina morsitans	Laboratory	Gooding, RH, 1997
Diptera	Psychodidae	Lutzomyia longipalpis	Lutzomyia cruzi	Field	Santos, MFC; Ribolla, PEM; Alonso, DP; Andrade, JD; Casaril, AE; Ferreira, AMT; Fernandes, CES; Brazil, RP; Oliveira, AG, 2013
Diptera	Psychodidae	Lutzomyia pseudolongipalpis	Lutzomyia longipalpis	Laboratory	Arrivillaga, J; Salerno, P; Rangel, Y, 2009
Diptera	Psychodidae	Phlebotomus perniciosus	Phlebotomus longicuspis	Field	Pesson, B; Ready, JS; Benabdennbi, I; Martin-Sanchez, J; Esseghir, S; Cadi-Soussi, M; Morillas-Marquez, F; Ready, PD, 2004
Diptera	Sepsidae	Sepsis cynipsea	Sepsis neocynipsea	Laboratory	Giesen, A; Schafer, MA; Blanckenhorn, WU, 2019
Diptera	Simuliidae	Prosimulium multidentatum	Prosimulium magnum	Field	ROTHFELS, K; NAMBIAR, R, 1981
Diptera	Simuliidae	Simulium arcticum	Simulium saxosum	Field	Conflitti, IM; Shields, GF; Murphy, RW; Currie, DC
Diptera	Simuliidae	Simulium damnosum	Simulium sirbanum	Field	Boakye, DA; Back, C; Brakefield, PM, 2000
Diptera	Simuliidae	Simulium flexibranchium	Simulium petricolum	Field	Adler, PH; Seitz, G, 2020
Diptera	Simuliidae	Simulium sanctipauli	Simulium squamosum	Field	POST, RJ, 1984
Diptera	Simuliidae	Simulium sanctipauli	Simulium yahense	Field	POST, RJ, 1984
Diptera	Tephritidae	Anastrepha fraterculus	Anastrepha obliqua	Field	Rull, J; Tadeo, E; Lasa, R; Rodriguez, CL; Altuzar-Molina, A; Aluja, M, 2018
Diptera	Tephritidae	Anastrepha fraterculus	Anastrepha sororcula	Laboratory	dos Santos, P; Uramoto, K; Matioli, SR, 2001
Diptera	Tephritidae	Anastrepha obliqua	Anastrepha sororcula	Laboratory	dos Santos, P; Uramoto, K; Matioli, SR, 2001
Diptera	Tephritidae	Bactrocera dorsalis	Bactrocera carambolae	Laboratory	McInnis, DO; Rendon, P; Jang, E; Van Sauers-Muller, A; Sugayama, R; Malavasi, A, 1999
Diptera	Tephritidae	Bactrocera invadens	Bactrocera dorsalis	Laboratory	Bo, W; Ahmad, S; Dammalage, T; Tomas, US; Wornoayporn, V; Ul Haq, I; Caceres, C; Vreysen, MJB; Hendrichs, J; Schutze, MK, 2014
Diptera	Tephritidae	Bactrocera occipitalis	Bactrocera philippinensis	Laboratory	Iwahashi, O, 1999
Diptera	Tephritidae	Bactrocera tryoni	Bactrocera jarvisi	Laboratory	Cruickshank, L; Jessup, AJ; Cruickshank, DJ, 2001
Diptera	Tephritidae	Bactrocera tryoni	Bactrocera neohumeralis	Field	Pike, N; Wang, WYS; Meats, A, 2003
Diptera	Tephritidae	Ceratitis rosa	Ceratitis fasciventris	Laboratory	Erbout, N; De Meyer, M; Lens, L, 2008
Diptera	Tephritidae	Rhagoletis cerasi	Rhagoletis cingulata	Field	Johannesen, J; Keyghobadi, N; Schuler, H; Stauffer, C; Vogt, H, 2013
Diptera	Tephritidae	Rhagoletis mendax	Rhagoletis zephyria	Field	Schwarz, D; McPheron, BA, 2007
Diptera	Tephritidae	Rhagoletis pomonella	Rhagoletis zephyria	Field	Yee, WL; Chapman, PS; Sheets, HD, 2013
Diptera	Tephritidae	Rhagoletis zoqui	Rhagoletis ramosae	Laboratory	Tadeo, E; Aluja, M; Rull, J, 2018
Diptera	Tephritidae	Tomoplagia reticulata	Tomoplagia pallens	Field	Abreu, AG; Solferini, VN
Hymenoptera	Andrenidae	Andrena scurra	Andrena ellisiae	Field	LANHAM, UN, 1984
Hymenoptera	Aphelinidae	Encarsia suzannae	Encarsia gennaroi	Laboratory	Gebiola, M; Kelly, SE; Hammerstein, P; Giorgini, M; Hunter, MS, 2016
Hymenoptera	Apidae	Apis cerana	Apis mellifera	Laboratory	Gloag, R; Tan, K; Wang, Y; Song, W; Luo, W; Buchman, G; Beekman, M; Oldroyd, BP, 2017
Hymenoptera	Apidae	Tetragonula carbonaria	Tetragonula hockingsi	Field	Brito, RM; Francisco, FO; Ho, SYW; Oldroyd, BP, 2014
Hymenoptera	Braconidae	Aphidius ervi	Aphidius microlophii	Laboratory	PENNACCHIO, F; DIGILIO, MC; TREMBLAY, E; TRANFAGLIA, A, 1994
Hymenoptera	Braconidae	Cotesia chilonis	Cotesia sesamiae	Laboratory	KIMANI, SW; OVERHOLT, WA, 1995
Hymenoptera	Braconidae	Cotesia flavipes	Cotesia chilonis	Laboratory	KIMANI, SW; OVERHOLT, WA, 1995
Hymenoptera	Braconidae	Cotesia flavipes	Cotesia sesamie	Laboratory	KIMANI, SW; OVERHOLT, WA, 1995
Hymenoptera	Formicidae	Camponotus herculeanus	Camponotus ligniperda	Field	Seifert, B, 2019
Hymenoptera	Formicidae	Formica aquilonia 	Formica lugubris	Field	Seifert, B, 2021
Hymenoptera	Formicidae	Formica aquilonia 	Formica paralugubris	Field	Seifert, B, 2021
Hymenoptera	Formicidae	Formica aquilonia 	Formica polyctena	Field	Beresford, J; Elias, M; Pluckrose, L; Sundstrom, L; Butlin, RK; Pamilo, P; Kulmuni, J, 2017
Hymenoptera	Formicidae	Formica bruni	Formica pressilabris	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Formica lugubris	Formica pratensis	Field	Seifert, B, 2021
Hymenoptera	Formicidae	Formica lugubris	Formica rufa	Field	Seifert, B, 2021
Hymenoptera	Formicidae	Formica polyctena	Formica rufa	Field	Seifert, B; Kulmuni, J; Pamilo, P, 2010
Hymenoptera	Formicidae	Formica rufa	Formica polyctena	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Lasius claviger	Lasius latipes	Field	Umphrey, GJ, 2006
Hymenoptera	Formicidae	Lasius emarginatus	Lasius platythorax	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Lasius niger	Lasius psammophilus 	Field	van der Have, TM; Pedersen, JS; Boomsma, JJ., 2011
Hymenoptera	Formicidae	Lasius umbratus	Lasius jensi	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Lasius umbratus	Lasius meridionalis	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Messor minor	Messor wasmanni	Field	Steiner, FM; Seifert, B; Grasso, DA; Le Moli, F; Arthofer, W; Stauffer, C; Crozier, RH; Schlick-Steiner, BC, 2011
Hymenoptera	Formicidae	Myrmecia banksi	Myrmecia pilosula	Field	Taylor, RW, 2015
Hymenoptera	Formicidae	Myrmica scabrinodis 	Myrmica vandeli	Field	Yazdi, AB; Munch, W; Seifert, B, 2012
Hymenoptera	Formicidae	Pogonomyrmex occidentalis	Pogonomyrmex maricopa 	Field	Anderson, KE; Novak, SJ; Smith, JF., 2008
Hymenoptera	Formicidae	Pogonomyrmex rugosus	Pogonomyrmex barbatus	Field	Yamauchi, A; Yamamura, N, 2006
Hymenoptera	Formicidae	Solenopsis geminata	Solenopsis xyloni	Field	Sanchez-Pena, SR; Chacon-Cardosa, MC; Resendez-Perez, D, 2009
Hymenoptera	Formicidae	Solenopsis invicta	Solenopsis richteri	Field	Diffie, S; Bass, MH; Bondari, K, 1997
Hymenoptera	Formicidae	Temnothorax adlerzi	Temnothorax algeriana	Laboratory	JESSEN, K; KLINKICHT, M, 1990
Hymenoptera	Formicidae	Temnothorax adlerzi	Temnothorax kraussei	Laboratory	JESSEN, K; KLINKICHT, M, 1990
Hymenoptera	Formicidae	Temnothorax albipennis	Temnothorax nigriceps	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Temnothorax albipennis	Temnothorax tuberum	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Temnothorax albipennis	Temnothorax unifasciatus	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Temnothorax corsica	Temnothorax adlerzi	Laboratory	JESSEN, K; KLINKICHT, M, 1990
Hymenoptera	Formicidae	Temnothorax corsica	Temnothorax algeriana	Laboratory	JESSEN, K; KLINKICHT, M, 1990
Hymenoptera	Formicidae	Temnothorax corsica	Temnothorax kraussei	Laboratory	JESSEN, K; KLINKICHT, M, 1990
Hymenoptera	Formicidae	Temnothorax crassispinus	Temnothorax crasecundus	Field	Seifert, B; Csosz, S., 2015
Hymenoptera	Formicidae	Temnothorax kraussei	Temnothorax algeriana	Laboratory	JESSEN, K; KLINKICHT, M, 1990
Hymenoptera	Formicidae	Temnothorax kraussei	Temnothorax bernardi	Laboratory	JESSEN, K; KLINKICHT, M, 1990
Hymenoptera	Formicidae	Temnothorax nigriceps	Temnothorax unifasciatus	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Temnothorax nylanderi	Temnothorax crassispinus	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Temnothorax tuberum	Temnothorax nigriceps	Field	Seifert, B, 1999
Hymenoptera	Formicidae	Tetramorium immigrans	Tetramorium caespitum	Field	Cordonnier, M; Escarguel, G; Dumet, A; Kaufmann, B, 2020
Hymenoptera	Ichneumonidae	Diadegma semiclausum	Diadegma fenestrale 	Laboratory	Davies, AP; Takashino, K; Watanabe, M; Miura, K., 2009
Hymenoptera	Pteromalidae	Nasonia longicornis	Nasonia giraulti	Laboratory	Pietsch, C; Rutten, K; Gadau, J, 2004
Hymenoptera	Pteromalidae	Nasonia oneida	Nasonia giraulti	Laboratory	Raychoudhury, R; Desjardins, CA; Buellesbach, J; Loehlin, DW; Grillenberger, BK; Beukeboom, L; Schmitt, T; Werren, JH, 2010
Hymenoptera	Pteromalidae	Nasonia oneida	Nasonia longicornis	Laboratory	Raychoudhury, R; Desjardins, CA; Buellesbach, J; Loehlin, DW; Grillenberger, BK; Beukeboom, L; Schmitt, T; Werren, JH, 2010
Hymenoptera	Pteromalidae	Nasonia oneida	Nasonia vitripennis	Laboratory	Raychoudhury, R; Desjardins, CA; Buellesbach, J; Loehlin, DW; Grillenberger, BK; Beukeboom, L; Schmitt, T; Werren, JH, 2010
Hymenoptera	Pteromalidae	Nasonia vitripennis	Nasonia giraulti	Laboratory	Gadau, J; Page, RE; Werren, JH, 2002
Hymenoptera	Pteromalidae	Nasonia vitripennis	Nasonia longicornis	Laboratory	Beukeboom, LW; van den Assem, J, 2001
Hymenoptera	Torymidae	Torymus sinensis	Torymus beneficus	FIeld	Yara, K; Yano, E; Sasawaki, T; Shiga, M., 2000
Hymenoptera	Trichogrammatidae	Trichogramma minutum	Trichogramma platneri	Laboratory	Pinto, JD; Platner, GR; Stouthamer, R, 2003
Lepidoptera	Crambidae	Ostrinia furnacalis	Ostrinia nubilalis	Field	Wang, YZ; Kim, KS; Guo, WC; Li, QY; Zhang, YY; Wang, ZY; Coates, BS, 2017
Lepidoptera	Crambidae	Ostrinia furnacalis	Ostrinia scapulalis	Field	Bourguet, D; Ponsard, S; Streiff, R; Meusnier, S; Audiot, P; Li, J; Wang, ZY, 2014
Lepidoptera	Crambidae	Ostrinia zaguliaevi	Ostrinia zealis	Laboratory	Tabata, J; Ishikawa, Y, 2011
Lepidoptera	Crambidae	Udea alpinalis	Udea uliginosalis	Field	Mally, R; Huemer, P; Nuss, M, 2018
Lepidoptera	Drepanidae	Drepana curvatula	Drepana falcataria	Laboratory	Presgraves, DC, 2002
Lepidoptera	Erebidae	Orgyia antiqua	Orgyia thyellina	Laboratory	Presgraves, DC, 2002
Lepidoptera	Geometridae	Epirrita autumnata	Epirrita dilutata	Laboratory	Presgraves, DC, 2002
