Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	Reference
Odonata	Argia emma	Enallagma carunculatum	N	N	N	NA	NA	NA
Odonata	Argia plana	Argia moesta	Y	Y	N	NA	NA	NA
Odonata	Argia sedula	Enallagma basidens	N	N	N	NA	NA	NA
Odonata	Argia tibialis	Argia moesta	N	N	N	NA	NA	NA
Odonata	Argia tibialis	Lestes dryas	N	N	N	NA	NA	NA
Odonata	Boyeria grafiana	Boyeria vinosa	N	N	N	NA	NA	NA
Odonata	Brachytron pratense	Libellula quadrimaculata	N	N	N	NA	NA	NA
Odonata	Calopteryx aequabilis	Calopteryx maculata	Y	Y	N	NA	NA	NA
Odonata	Calopteryx dimidiata	Calopteryx maculata	Y	N	N	NA	NA	NA
Odonata	Calopteryx haemorrhoidalis	Calopteryx splendens	Y	N	N	NA	NA	NA
Odonata	Calopteryx orientalis	Calopteryx samarcandica	Y	Y	Y	NA	NA	NA
Odonata	Calopteryx splendens	Calopteryx virgo	Y	Y	Y	NA	NA	NA
Odonata	Calopteryx splendens	Platycnemis pennipes	N	N	N	NA	NA	NA
Odonata	Calopteryx virgo	Pyrrhosoma nymphula	N	N	N	NA	NA	NA
Odonata	Chalcolestes parvidens	Chalcolestes viridis	N	N	N	NA	NA	NA
Odonata	Chalcolestes viridis	Erythromma viridulum	N	N	N	NA	NA	NA
Odonata	Chalcolestes viridis	Lestes dryas	N	N	N	NA	NA	NA
Odonata	Chalcolestes viridis	Lestes virens	N	N	N	NA	NA	NA
Odonata	Chalcolestes viridis	Sympecma fusca	N	N	N	NA	NA	NA
Odonata	Coenagrion ornatum	Platycnemis pennipes	N	N	N	NA	NA	NA
Odonata	Coenagrion puella	Coenagrion pulchellum	Y	Y	Y	NA	NA	NA
Odonata	Coenagrion puella	Enallagma cyathigerum	Y	N	N	NA	NA	NA
Odonata	Coenagrion splendens	Coenagrion pulchellum	Y	Y	Y	NA	NA	NA
Odonata	Coenagrion viridis	Coenagrion parvidens	Y	Y	Y	NA	NA	NA
Odonata	Copera marginipes	Ceriagrion cerinorubellum	Y	N	N	NA	NA	NA
Odonata	Cordulegaster bilineata	Cordulegaster diastatops	Y	Y	Y	NA	NA	NA
Odonata	Cordulegaster boltonii	Somatochlora metallica	N	N	N	NA	NA	NA
Odonata	Cordulia aenea	Epitheca bimaculata	Y	N	N	NA	NA	NA
Odonata	Cordulia aenea	Somatochlora flavomaculata	Y	N	N	NA	NA	NA
Odonata	Cordulia shurtleffii	Leucorrhinia glaciallis	N	N	N	NA	NA	NA
Odonata	Crocothemis erythraea	Trithemis annulata	N	N	N	NA	NA	NA
Odonata	Davidius moiwanus	Gomphus chichibui	Y	N	N	NA	NA	NA
Odonata	Deielia phaon	Orthetrum albistylum	Y	N	N	NA	NA	NA
Odonata	Diplacodes lefebvrii	Trithemis arteriosa	N	N	N	NA	NA	NA
Odonata	Dorocordulia libera	Epitheca canis	N	N	N	NA	NA	NA
Odonata	Dromogomphus spinosus	Stylurus plagiatus	N	N	N	NA	NA	NA
Odonata	Dythemis multipunctata	Dythemis sterilis	Y	Y	Y	NA	NA	NA
Odonata	Elattoneura glauca	Allocnemis leucosticta	N	N	N	NA	NA	NA
Odonata	Enallagma anna	Enallagma carunculatum	Y	Y	Y	NA	NA	NA
Odonata	Enallagma anna	Enallagma civile	Y	Y	Y	NA	NA	NA
Odonata	Enallagma aspersum	Enallagma civile	N	N	N	NA	NA	NA
Odonata	Enallagma aspersum	Enallagma geminatum	N	N	N	NA	NA	NA
Odonata	Enallagma basidens	Argia apicalis	N	N	N	NA	NA	NA
Odonata	Enallagma boreale	Enallagma carunculatum	N	N	N	NA	NA	NA
Odonata	Enallagma boreale	Enallagma cyathigerum	N	N	N	NA	NA	NA
Odonata	Enallagma carunculatum	Enallagma basidens	N	N	N	NA	NA	NA
Odonata	Enallagma carunculatum	Enallagma civile	Y	Y	Y	NA	NA	NA
Odonata	Enallagma carunculatum	Ischnura cervula	N	N	N	NA	NA	NA
Odonata	Enallagma carunculatum	Ischnura perparva	N	N	N	NA	NA	NA
Odonata	Enallagma civile	Argia moesta	Y	N	N	NA	NA	NA
Odonata	Enallagma civile	Argia vivida	N	N	N	NA	NA	NA
Odonata	Enallagma cyathigerum	Chalcolestes viridis	N	N	N	NA	NA	NA
Odonata	Enallagma cyathigerum	Enallagma vernale	Y	Y	Y	NA	NA	NA
Odonata	Enallagma cyathigerum	Ischnura denticolis	N	N	N	NA	NA	NA
Odonata	Enallagma cyathigerum	Lestes dryas	N	N	N	NA	NA	NA
Odonata	Enallagma cyathigerum	Telebasis salva	N	N	N	NA	NA	NA
Odonata	Enallagma ebrium	Enallagma boreale	N	N	N	NA	NA	NA
Odonata	Enallagma ebrium	Enallagma hageni	Y	Y	Y	NA	NA	NA
Odonata	Enallagma hageni	Ischnura cervula	N	N	N	NA	NA	NA
Odonata	Enallagma pollutum	Enallagma dubium	N	N	N	NA	NA	NA
Odonata	Enallagma pollutum	Enallagma signatum	N	N	N	NA	NA	NA
Odonata	Enallagma praevarum	Enallagma cyathigerum	N	N	N	NA	NA	NA
Odonata	Epitheca cynosura	Epitheca spinosa	Y	Y	Y	NA	NA	NA
Odonata	Epitheca spinigera	Epitheca cynosura	N	N	N	NA	NA	NA
Odonata	Gomphurus externus	Gomphurus fraternus	Y	Y	Y	NA	NA	NA
Odonata	Gomphus crassus	Gomphurus vastus	N	N	N	NA	NA	NA
Odonata	Gomphus crassus	Ophiogomphus rupinsulensis	N	N	N	NA	NA	NA
Odonata	Gomphus fraternus	Gomphus externus	Y	Y	Y	NA	NA	NA
Odonata	Gomphus simillimus	Gomphus vulgatissimus	Y	N	N	NA	NA	NA
Odonata	Hetaerina americana	Argia plana	N	N	N	NA	NA	NA
Odonata	Hetaerina americana	Calopteryx maculata	Y	N	N	NA	NA	NA
Odonata	Indolestes peregrinus	Cercion hieroglyhicum	N	N	N	NA	NA	NA
Odonata	Ischnura aurora	Xanthocnemis zealandica	N	N	N	NA	NA	NA
Odonata	Ischnura barberi	Ischnura ramburii	Y	N	N	NA	NA	NA
Odonata	Ischnura capreolus	Ischnura cyane	N	N	N	NA	NA	NA
Odonata	Ischnura demorsa	Ischnura damula	Y	Y	Y	NA	NA	NA
Odonata	Ischnura denticollis	Ischnura gemina	Y	Y	Y	NA	NA	NA
Odonata	Ischnura elegans	Calopteryx splendens	Y	N	N	NA	NA	NA
Odonata	Ischnura elegans	Chalcolestes viridis	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Coenagrion puella	Y	N	N	NA	NA	NA
Odonata	Ischnura elegans	Coenagrion pulchellum	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Enallagma cyathigerum	Y	N	N	NA	NA	NA
Odonata	Ischnura elegans	Erythromma lindenii	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Erythromma najas	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Ischnura fountaineae	Y	Y	Y	NA	NA	NA
Odonata	Ischnura elegans	Ischnura graellsii	Y	Y	Y	NA	NA	NA
Odonata	Ischnura elegans	Ischnura saharensis	Y	Y	Y	NA	NA	NA
Odonata	Ischnura elegans	Lestes sponsa	N	N	N	NA	NA	NA
Odonata	Ischnura elegans	Pyrrhosoma nymphula	Y	N	N	NA	NA	NA
Odonata	Ischnura elegans	Sympecma fusca	Y	N	N	NA	NA	NA
Odonata	Ischnura erratica	Lestes disjunctus	N	N	N	NA	NA	NA
Odonata	Ischnura genei	Ischnura elegans	Y	Y	Y	NA	NA	NA
Odonata	Ischnura genei	Ischnura graellsii	Y	Y	Y	NA	NA	NA
Odonata	Ischnura genei	Ischnura saharensis	Y	Y	Y	NA	NA	NA
Odonata	Ischnura graellsii	Ischnura saharensis	Y	Y	Y	NA	NA	NA
Odonata	Ischnura perparva	Enallagma anna	N	N	N	NA	NA	NA
Odonata	Ischnura pumilio	Coenagrion puella	Y	N	N	NA	NA	NA
Odonata	Ischnura pumilio	Enallagma cyathigerum	Y	N	N	NA	NA	NA
Odonata	Ischnura pumilio	Ischnura elegans	N	N	N	NA	NA	NA
Odonata	Ischnura pumilio	Ischnura graellsii	Y	N	N	NA	NA	NA
Odonata	Lestes australis	Enallagma cyathigerum	N	N	N	NA	NA	NA
Odonata	Lestes barbarus	Chalcolestes viridis	Y	Y	N	NA	NA	NA
Odonata	Lestes barbarus	Lestes dryas	N	N	N	NA	NA	NA
Odonata	Lestes barbarus	Lestes sponsa	N	N	N	NA	NA	NA
Odonata	Lestes disjunctus	Chalcolestes viridis	N	N	N	NA	NA	NA
Odonata	Lestes disjunctus	Enallagma cyathigerum	N	N	N	NA	NA	NA
Odonata	Lestes disjunctus	Lestes vigilax	N	N	N	NA	NA	NA
Odonata	Lestes dryas	Lestes sponsa	Y	N	N	NA	NA	NA
Odonata	Lestes inaequalis	Lestes disjunctus	N	N	N	NA	NA	NA
Odonata	Lestes rectangularis	Lestes congener	N	N	N	NA	NA	NA
Odonata	Lestes rectangularis	Lestes unguiculatus	N	N	N	NA	NA	NA
Odonata	Lestes sponsa	Ceriagrion tenellum	N	N	N	NA	NA	NA
Odonata	Lestes sponsa	Chalcolestes viridis	Y	Y	N	NA	NA	NA
Odonata	Lestes sponsa	Enallagma cyathigerum	N	N	N	NA	NA	NA
Odonata	Lestes sponsa	Erythromma najas	N	N	N	NA	NA	NA
Odonata	Lestes sponsa	Lestes temporalis	N	N	N	NA	NA	NA
Odonata	Lestes sponsa	Lestes virens	N	N	N	NA	NA	NA
Odonata	Lestes sponsa	Sympecma paedisca	N	N	N	NA	NA	NA
Odonata	Lestes unguiculatus	Lestes dryas	N	N	N	NA	NA	NA
Odonata	Lestes virens	Lestes barbarus	N	N	N	NA	NA	NA
Odonata	Leucorrhinia dubia	Leucorrhinia rubicunda	N	N	N	NA	NA	NA
Odonata	Leucorrhinia dubia	Sympetrum danae	N	N	N	NA	NA	NA
Odonata	Leucorrhinia dubia	Sympetrum frequens	Y	N	N	NA	NA	NA
Odonata	Leucorrhinia glacialis	Leucorrhinia intacta	Y	Y	Y	NA	NA	NA
Odonata	Leucorrhinia hudsonica	Leucorrhinia proxima	Y	N	N	NA	NA	NA
Odonata	Leucorrhinia proxima	Sympetrum pallipes	N	N	N	NA	NA	NA
Odonata	Libellula angelina	Libellula quadrimaculata	Y	Y	Y	NA	NA	NA
Odonata	Libellula auripennis	Libellula cyanea	N	N	N	NA	NA	NA
Odonata	Libellula auripennis	Libellula semifasciata	N	N	N	NA	NA	NA
Odonata	Libellula flavida	Libellula cyanea	Y	N	N	NA	NA	NA
Odonata	Libellula fulva	Libellula quadrimaculata	Y	N	N	NA	NA	NA
Odonata	Libellula luctuosa	Tramea carolina	N	N	N	NA	NA	NA
Odonata	Libellula pulchella	Libellula luctuosa	Y	Y	Y	NA	NA	NA
Odonata	Libellula semifasciata	Celithemis eponina	N	N	N	NA	NA	NA
Odonata	Megalagrion eudytum	Megalagrion vagabundum	Y	Y	Y	NA	NA	NA
Odonata	Megalagrion mauka	Megalagrion paludicola	Y	Y	Y	NA	NA	NA
Odonata	Megalagrion nesiotes	Megalagrion oahuense	Y	Y	Y	NA	NA	NA
Odonata	Megalagrion orobates	Megalagrion oresitrophum	Y	Y	Y	NA	NA	NA
Odonata	Megalagrion xanthomelas	Megalagrion pacificum	Y	Y	Y	NA	NA	NA
Odonata	Mnais costalis	Mnais pruinosa	Y	Y	Y	NA	NA	NA
Odonata	Nehalennia gracilis	Nehalennia irene	N	N	N	NA	NA	NA
Odonata	Onychogomphus forcipatus	Onychogomphus uncatus	N	N	N	NA	NA	NA
Odonata	Ophiogomphus carolus	Phanogomphus lividus	N	N	N	NA	NA	NA
Odonata	Ophiogomphus rupinsulensis	Ophiogomphus carolus	Y	Y	Y	NA	NA	NA
Odonata	Ophiogomphus severus	Ophiogomphus occidentis	Y	N	N	NA	NA	NA
Odonata	Orthetrum albistylum	Orthetrum poecilops	N	N	N	NA	NA	NA
Odonata	Orthetrum albistylum	Orthetrum triangulare	N	N	N	NA	NA	NA
Odonata	Orthetrum brunneum	Onychogomphus forcipatus	N	N	N	NA	NA	NA
Odonata	Orthetrum cancellatum	Orthetrum albistylum	N	N	N	NA	NA	NA
Odonata	Paracercion melanotum	Paracercion plagiosum	N	N	N	NA	NA	NA
Odonata	Phanogomphus exilis	Phanogomphus spicatus	N	N	N	NA	NA	NA
Odonata	Phanogomphus graslinellus	Gomphus lividus	Y	Y	Y	NA	NA	NA
Odonata	Phanogomphus graslinellus	Phanogomphus lividus	Y	Y	Y	NA	NA	NA
Odonata	Platycnemis pennipes	Coenagrion puella	N	N	N	NA	NA	NA
Odonata	Platycnemis pennipes	Platycnemis acutipennis	Y	Y	N	NA	NA	NA
Odonata	Pseudagrion rubriceps	Pseudagrion microcephalum	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Coenagrion lunulatum	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Coenagrion mercuriale	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Coenagrion puella	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Ischnura pumilio	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Lestes barbarus	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Sympecma fusca	N	N	N	NA	NA	NA
Odonata	Somatochlora albicincta	Somatochlora hudsonica	N	N	N	NA	NA	NA
Odonata	Somatochlora sahlbergi	Somatochlora albicinta	Y	Y	Y	NA	NA	NA
Odonata	Somatochlora sahlbergi	Somatochlora hudsonica	Y	Y	Y	NA	NA	NA
Odonata	Stylurus plagiatus	Dromogomphus armatus	N	N	N	NA	NA	NA
Odonata	Sympecma fusca	Sympecma paedisca	N	N	N	NA	NA	NA
Odonata	Sympetrum croceolum	Sympetrum uniforme	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum danae	Sympetrum sanguineum	N	N	N	NA	NA	NA
Odonata	Sympetrum darwinianum	Sympetrum maculatum	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum depressiusculum	Crocothemis erythraea	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Libellula fulva	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Onychogomphus uncatus	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Orthetrum albistylum	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Orthetrum cancellatum	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Oxygastra curtisii	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Sympetrum fonscolombii	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Sympetrum frequens	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum eroticum	Sympetrum baccha	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum eroticum	Sympetrum darwinianum	N	N	N	NA	NA	NA
Odonata	Sympetrum eroticum	Sympetrum parvulum	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum eroticum	Sympetrum pedemontanum	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum frequens	Pantala flavescens	N	N	N	NA	NA	NA
Odonata	Sympetrum frequens	Sympetrum infuscatum	Y	N	N	NA	NA	NA
Odonata	Sympetrum infuscatum	Sympetrum maculatum	Y	N	N	NA	NA	NA
Odonata	Sympetrum internum	Sympetrum rubicundulum	Y	N	N	NA	NA	NA
Odonata	Sympetrum kunckeli	Sympetrum darwinianum	Y	N	N	NA	NA	NA
Odonata	Sympetrum kunckeli	Sympetrum eroticum	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum meridionale	Sympetrum striolatum	N	N	N	NA	NA	NA
Odonata	Sympetrum obtrusum	Sympetrum danae	N	N	N	NA	NA	NA
Odonata	Sympetrum risi	Sympetrum eroticum	N	N	N	NA	NA	NA
Odonata	Sympetrum risi	Sympetrum infuscatum	Y	N	N	NA	NA	NA
Odonata	Sympetrum rubicundulum	Sympetrum obtrusum	N	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Crocothemis erythraea	N	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Sympetrum flaveolum	N	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Sympetrum meridionale	N	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Sympetrum striolatum	Y	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Sympetrum vulgatum	N	N	N	NA	NA	NA
Odonata	Sympetrum vulgatum	Sympetrum danae	Y	Y	N	NA	NA	NA
Odonata	Sympetrum vulgatum	Sympetrum striolatum	Y	Y	N	NA	NA	NA
Odonata	Trigomphus interruptus	Trigomphus ogumai	N	N	N	NA	NA	NA
Orthoptera	Allonemobius fasciatus	Allonemobius socius	Y	Y	Y	Y	Y	GREGORY, PG; HOWARD, DJ, 1993
Orthoptera	Chorthippus albomarginatus	Chorthippus karelini	Y	Y	Y	Y	?	Vedenina, VY, 2015
Orthoptera	Chorthippus albomarginatus	Chorthippus oschei	Y	Y	Y	Y	Y	Vedenina, VY; Kulygina, NK; Panyutin, AK, 2007
Orthoptera	Chorthippus biguttulus	Chorthippus brunneus	Y	Y	Y	Y	N	Gottsberger, B; Mayer, F, 2019
Orthoptera	Chorthippus biguttulus	Chorthippus mollis	Y	Y	Y	Y	N	Finck, J; Ronacher, B, 2017
Orthoptera	Chorthippus brunneus	Chorthippus jacobsi	Y	Y	Y	Y	Y	Saldamando, CI; Tatsuta, H; Butlin, RK, 2005
Orthoptera	Chorthippus oschei	Chorthippus karelini	Y	Y	Y	Y	?	Vedenina, VY, 2015
Orthoptera	Chorthippus parallelus	Chorthippus montanus	Y	Y	Y	Y	Y	Rohde, K; Hau, Y; Weyer, J; Hochkirch, A, 2015
Orthoptera	Cyphoderris buckelli	Cyphoderris monstrosa	Y	N	N	N	N	Dupuis, JR; Judge, KA; Brunet, BMT; Chan, SO; Sperling, FAH, 2020
Orthoptera	Dociostaurus curvicercus	Dociostaurus jagoi	N	Y	N	N	N	BLONDHEIM, SA, 1990
Orthoptera	Gryllus bimaculatus	Gryllus campestris	Y	Y	Y	?	?	Veen, T; Faulks, J; Tyler, F; Lloyd, J; Tregenza, T, 2013
Orthoptera	Gryllus firmus	Gryllus pennsylvanicus	Y	Y	Y	?	?	Maroja, LS; Andres, JA; Walters, JR; Harrison, RG, 2009
Orthoptera	Gryllus lineaticeps	Gryllus personatus	Y	Y	Y	Y	Y	Gray, DA; Gutierrez, NJ; Chen, TL; Gonzalez, C; Weissman, DB; Cole, JA, 2016
Orthoptera	Gryllus staccato	Gryllus lineaticeps	Y	Y	Y	Y	Y	Gray, DA; Gutierrez, NJ; Chen, TL; Gonzalez, C; Weissman, DB; Cole, JA, 2016
Orthoptera	Gryllus staccato	Gryllus personatus	Y	Y	Y	Y	Y	Gray, DA; Gutierrez, NJ; Chen, TL; Gonzalez, C; Weissman, DB; Cole, JA, 2016
Orthoptera	Melanoplus sanguinipes	Melanoplus devastator	Y	Y	Y	?	?	Orr, MR, 1996
Orthoptera	Orchelimum nigripes	Orchelimum pulchellum	Y	Y	Y	?	?	Shapiro, LH, 2000
Orthoptera	Podisma tyatiensis	Podisma sapporensis	Y	Y	N	N	N	Bugrov, AG; Warchalowska-Sliwa, E; Akimoto, S, 2005
Orthoptera	Stenobothrus rubicundulus	Stenobothrus clavatus	Y	Y	Y	Y	Y	Sradnick, J; Klopfel, A; Elsner, N; Vedenina, V, 2016
Orthoptera	Tetrix ceperoi	Tetrix subulata	Y	?	?	?	?	Hochkirch, A; Deppermann, J; Groning, J, 2006
Orthoptera	Tetrix undulata	Tetrix subulata	Y	?	?	?	?	Hochkirch, A; Bucker, A; Groning, J 2008
