Order	Suborder	Family	Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Lepidoptera	"Moth"	Noctuidae	Helicoverpa armigera	Helicoverpa zea	Laboratory	Yes	LASTER, ML; SHENG, CF.	1995	SEARCH FOR HYBRID STERILITY FOR HELICOVERPA-ZEA IN CROSSES BETWEEN THE NORTH-AMERICAN HELIOTHIS-ZEA AND HELICOVERPA-ARMIGERA (LEPIDOPTERA, NOCTUIDAE) FROM CHINA
Lepidoptera	"Moth"	Saturniidae	Hyalophora cecropia	Hyalophora columbia	Field	Yes	FERGE, LA.	1983	DISTRIBUTION AND HYBRIDIZATION OF HYALOPHORA-COLUMBIA (LEPIDOPTERA, SATURNIIDAE) IN WISCONSIN
Lepidoptera	"Moth"	Saturniidae	Hyalophora cecropia	Hyalophora euryalus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Saturniidae	Hyalophora cecropia	Hyalophora gloveri	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Saturniidae	Hyalophora columbia	Hyalophora euryalus	Field	Yes	Collins, MM.	1997	Hybridization and speciation in Hyalophora (Insecta: Lepidoptera: Saturniidae): A reappraisal of W.R. Sweadner's classic study of a hybrid zone
Lepidoptera	"Moth"	Saturniidae	Hyalophora euryalus	Hyalophora gloveri	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Noctuidae	Hydraecia immanis	Hydraecia micacea	Field	Yes	SCRIBER, JM; BOSSART, JL; SNIDER, D.	1992	DIAGNOSTIC ALLELES FROM ELECTROPHORESIS DISTINGUISH 2 NOCTUID PEST SPECIES, HYDRAECIA-IMMANIS AND H-MICACEA (LEPIDOPTERA, NOCTUIDAE)
Lepidoptera	"Moth"	Sphingidae	Hyles chamyla	Hyles hippophaes	Field	Yes	Patzold, F; Marabuto, E; Daneck, H; O'Neill, MA; Kitching, IJ; Hundsdoerfer, AK.	2021	The Phylogenetics and Biogeography of the Central Asian Hawkmoths, Hyles hippophaes and H. chamyla: Can Mitogenomics and Machine Learning Bring Clarity?
Lepidoptera	"Moth"	Sphingidae	Hyles dahlii	Hyles gallii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles euphorbiae	Deilephila elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles euphorbiae	Deilephila porcellus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles euphorbiae	Hyles gallii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles euphorbiae	Hyles hippophaes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles euphorbiae	Hyles lineata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles euphorbiae	Hyles tithymali	Field	Yes	Hundsdoerfer, AK; Mende, MB; Harbich, H; Pittaway, AR; Kitching, IJ.	2011	Larval pattern morphotypes in the Western Palaearctic Hyles euphorbiae complex (Lepidoptera: Sphingidae: Macroglossinae)
Lepidoptera	"Moth"	Sphingidae	Hyles euphorbiae	Hyles vespertilio	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles gallii	Deilephila elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles gallii	Deilephila porcellus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles gallii	Hyles hippophaes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles gallii	Hyles lineata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles gallii	Hyles livornica	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles gallii	Hyles vespertilio	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles hippophaes	Deilephila elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles hippophaes	Hyles lineata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles hippophaes	Hyles vespertilio	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles lineata	Deilephelia elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Hyles vespertilio	Deilephila elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Iphiclides feisthamelii	Iphiclides podalirius	Field	Yes	Gaunet, A; Dinca, V; Dapporto, L; Montagud, S; Voda, R; Schar, S; Badiane, A; Font, E; Vila, R.	2019	Two consecutive Wolbachia-mediated mitochondrial introgressions obscure taxonomy in Palearctic swallowtail butterflies (Lepidoptera, Papilionidae)
Lepidoptera	"Butterfly"	Nymphalidae	Junonia coenia	Junonia zonalis	Field	Yes	Lalonde, MML; Marcus, JM.	2020	BACK TO THE FUTURE: UPDATES ON THE INVASION HISTORY OF JUNONIA BUTTERFLIES IN FLORIDA AND THE MYSTERY OF CHOKOLOSKEE
Lepidoptera	"Moth"	Sphingidae	Laothoe austauti	Smerinthus atlanticus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Laothoe austauti	Smerinthus ocellata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Laothoe populi	Smerinthus atlanticus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Sphingidae	Laothoe populi	Smerinthus ocellata	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Pieridae	Leptidea reali	Leptidea sinapis	Field	Yes	Verovnik, R; Glogovcan, P.	2007	Morphological and molecular evidence of a possible hybrid zone of Leptidea sinapis and L reali (Lepidoptera : Pieridae)
Lepidoptera	"Butterfly"	Nymphalidae	Limenitis archippus	Limenitis arthemis	Field	Yes	PLATT, AP; HARRISON, SJ.	1994	1ST RECORD OF AN HETEROTIC, ADULT FEMALE HYBRID LIMENITIS (BASILARCHIA) RUBIDUS (LEPIDOPTERA, NYMPHALIDAE)
Lepidoptera	"Butterfly"	Nymphalidae	Limenitis archippus	Limenitis lorquini	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Nymphalidae	Limenitis archippus	Limenitis weidemeyerii	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia hirtaria	Lycia lapponaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia hirtaria	Nyssia graecaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia hirtaria 	Lycia isabellae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia hirtaria 	Lycia pomonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia hirtaria 	Lycia zonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia isabellae	Lycia lapponaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia isabellae	Lycia pomonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia lapponaria	Lycia pomonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia zonaria	Lycia isabellae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia zonaria	Lycia lapponaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia zonaria	Lycia pomonaria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Lycia zonaria	Poecilopsis rachelae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Lasiocampidae	Malacosoma castrensis	Malacosoma neustria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Lasiocampidae	Malacosoma franconica	Malacosoma neustria	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Nymphalidae	Maniola chia	Maniola nurag	Field	Yes	Grill, A; de Vos, R; van Arkel, J.	2004	The shape of endemics: Notes on male and female genitalia in the genus Maniola (Schrank, 1801), (Lepidoptera, Nymphalidae, Satyrinae)
Lepidoptera	"Butterfly"	Nymphalidae	Maniola jurtina	Maniola nurag	Field	Yes	Grill, A; Gkiokia, E; Alvarez, N.	2006	Evolutionary history and patterns of differentiation among European Maniola butterflies (Lepidoptera : Satyrinae)
Lepidoptera	"Butterfly"	Nymphalidae	Melitaea acentria	Melitaea acentria	Field	Yes	Pazhenkova, EA; Lukhtanov, VA.	2021	Genomic introgression from a distant congener in the Levant fritillary butterfly, Melitaea acentria
Lepidoptera	"Butterfly"	Nymphalidae	Melitaea ornata	Melitaea phoebe	Field	Yes	Russell, P; Bartolozzi, L.	2019	A revisit to the Melitaea taxon nigrogygia Verity, 1939 (Lepidoptera: Nymphalidae) and designation of a Lectotype
Lepidoptera	"Moth"	Sphingidae	Mimas tiliae	Smerinthus ocellata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Geometridae	Operophtera bruceata	Operophtera brumata	Field	Yes	TROUBRIDGE, JT; FITZPATRICK, SM.	1993	A REVISION OF THE NORTH-AMERICAN OPEROPHTERA (LEPIDOPTERA, GEOMETRIDAE)
Lepidoptera	"Moth"	Erebidae	Orgyia antiqua	Orgyia thyellina	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Moth"	Crambidae	Ostrinia furnacalis	Ostrinia nubilalis	Field	Yes	Wang, YZ; Kim, KS; Guo, WC; Li, QY; Zhang, YY; Wang, ZY; Coates, BS.	2017	Introgression between divergent corn borer species in a region of sympatry: Implications on the evolution and adaptation of pest arthropods
Lepidoptera	"Moth"	Crambidae	Ostrinia furnacalis	Ostrinia scapulalis	Field	Yes	Bourguet, D; Ponsard, S; Streiff, R; Meusnier, S; Audiot, P; Li, J; Wang, ZY.	2014	'Becoming a species by becoming a pest' or how two maize pests of the genus Ostrinia possibly evolved through parallel ecological speciation events
Lepidoptera	"Moth"	Crambidae	Ostrinia zaguliaevi	Ostrinia zealis	Laboratory	Yes	Tabata, J; Ishikawa, Y.	2011	Genetic Basis Regulating the Sex Pheromone Blend in Ostrinia zealis (Lepidoptera: Crambidae) and Its Allies Inferred From Crossing Experiments
Lepidoptera	"Butterfly"	Papilionidae	Papilio aegeus	Papilio helenus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio aegeus	Papilio maackii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio aegeus	Papilio machaon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio aegeus	Papilio macilentus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio aegeus	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio aegeus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio alexiares	Papilio glaucus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio alphenor	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio arcturus	Papilio bianor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio ascalaphus	Papilio memnon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio bianor	Papilio maackii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio bianor	Papilio machaon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio bianor	Papilio paris	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio bianor	Papilio polyctor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio bianor	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio brevicauda	Papilio machaon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio brevicauda	Papilio polyxenes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio canadensis	Papilio glaucus	Field	Yes	Scriber, JM; Hagen, RH; Lederhouse, RC.	1996	Genetics of mimicry in the tiger swallowtail butterflies, Papilio glaucus and P-canadensis (lepidoptera: Papilionidae)
Lepidoptera	"Butterfly"	Papilionidae	Papilio constantinus	Papilio dardanus	Laboratory	Yes	CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI.	1991	PHYLOGENETIC-RELATIONSHIPS OF 3 AFRICAN SWALLOWTAIL BUTTERFLIES, PAPILIO-DARDANUS, P-PHORCAS AND P-CONSTANTINUS - NEW DATA FROM HYBRIDS (LEPIDOPTERA, PAPILIONIDAE)
Lepidoptera	"Butterfly"	Papilionidae	Papilio constantinus	Papilio phorcas	Laboratory	Yes	CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI.	1991	PHYLOGENETIC-RELATIONSHIPS OF 3 AFRICAN SWALLOWTAIL BUTTERFLIES, PAPILIO-DARDANUS, P-PHORCAS AND P-CONSTANTINUS - NEW DATA FROM HYBRIDS (LEPIDOPTERA, PAPILIONIDAE)
Lepidoptera	"Butterfly"	Papilionidae	Papilio dardanus	Papilio phorcas	Field	Yes	VANEWRIGHT, RI; SMITH, CR.	1992	OCCURRENCE AND SIGNIFICANCE OF NATURAL HYBRIDS BETWEEN PAPILIO-DARDANUS AND P-PHORCAS (LEPIDOPTERA, PAPILIONIDAE)
Lepidoptera	"Butterfly"	Papilionidae	Papilio demoleus	Papilio maackii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio demoleus	Papilio machaon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio demoleus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio eurymedon	Papilio glaucus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio eurymedon	Papilio multicaudatus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio eurymedon	Papilio rutulus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio fuscus	Papilio macilentus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio fuscus	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio glaucus	Papilio multicaudatus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio glaucus	Papilio rutulus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio glaucus	Papilio scamander	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio glaucus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio helenus	Papilio hystaspes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio helenus	Papilio memnon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio helenus	Papilio nephelus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio helenus	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio helenus	Papilio protenor	Field	Yes	SPERLING, FAH.	1990	NATURAL HYBRIDS OF PAPILIO (INSECTA, LEPIDOPTERA) - POOR TAXONOMY OR INTERESTING EVOLUTIONARY PROBLEM
Lepidoptera	"Butterfly"	Papilionidae	Papilio helenus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio hipponous	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio hospiton	Papilio machaon	Field	Yes	Aubert, J; Barascud, B; Descimon, H; Michel, F.	1997	Ecology and genetics of interspecific hybridization in the swallowtails, Papilio hospiton Gene and P-machaon L, in Corsica (Lepidoptera: Papilionidae)
Lepidoptera	"Butterfly"	Papilionidae	Papilio maackii	Papilio polyctor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio maackii	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio maackii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio macilentus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio polyxenes	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio protenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio machaon	Papilio zelicaon	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio macilentus	Papilio memnon	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio macilentus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio memnon	Papilio polymnestor	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio memnon	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio memnon	Papilio rumanzovia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio memnon	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio multicaudatus	Papilio rutulus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio nephelus	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio palamedes	Papilio scamander	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio paris	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio polymnestor	Papilio rumanzovia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio polytes	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Lepidoptera	"Butterfly"	Papilionidae	Papilio polytes	Papilio protenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
