Family,Species 1,Species 2,Natural
Geometridae,Lycia hirtaria ,Nyssia zonaria,Laboratory
Geometridae,Lycia hirtaria ,Poecilopsis isabellae,Laboratory
Geometridae,Lycia hirtaria ,Poecilopsis pomonaria,Laboratory
Geometridae,Lycia hirtaria ,Poecilopsis isabellae,Laboratory
Geometridae,Lycia hirtaria ,Poecilopsis pomonaria,Laboratory
Geometridae,Lycia hirtaria,Poecilopsis lapponaria,Laboratory
Geometridae,Nyssia graecaria,Lycia hirtaria,Laboratory
Geometridae,Nyssia zonaria,Poecilopsis isabellae,Laboratory
Geometridae,Nyssia zonaria,Poecilopsis lapponaria,Laboratory
Geometridae,Nyssia zonaria,Poecilopsis pomonaria,Laboratory
Geometridae,Nyssia zonaria,Poecilopsis rachelae,Allopatric
Geometridae,Oporabia dilutata,Oporabia autumnata,Laboratory
Geometridae,Oporabia filigrammaria,Oporabia dilutata,Laboratory
Geometridae,Oporabia filigrammaria,Oporabia autumnata,Laboratory
Geometridae,Poecilopsis isabellae,Poecilopsis lapponaria,Laboratory
Geometridae,Poecilopsis isabellae,Poecilopsis pomonaria,Laboratory
Geometridae,Poecilopsis lapponaria,Poecilopsis pomonaria,Laboratory
Geometridae,Selenia bilunaria,Selenia tetralunaria,Laboratory
Geometridae,Thera obeliscata,Thera variata,Laboratory
Lasiocampidae,Malacosoma franconica,Malacosoma neustria,Laboratory
Lasiocampidae,Malacosoma castrensis,Malacosoma neustria,Laboratory
Lasiocampidae,Phyllodesma tremulifolia,Phyllodesma ilicifolia,Laboratory
Lymantriidae,Orgyia thyellina,Orgyia antiqua,Laboratory
Noctuidae,Heliothis virescens,Heliothis subblexa,Laboratory
Noctuidae,Helicoverpa zea,Helicoverpa armigera,Allopatric
Notodontidae,Cerura erminea,Cerura vinula,Laboratory
Notodontidae,Clostera anachoreta,Clostera curtula,Laboratory
Notodontidae,Clostera anachoreta,Clostera pigra,Laboratory
Notodontidae,Clostera apicalis,Clostera pigra,Allopatric
Notodontidae,Clostera curtula,Clostera pigra,Laboratory
Notodontidae,Drepana falcataria,Drepana curvatula,Laboratory
Nymphalidae,Erebia nivalis,Erebia cassioides,Laboratory
Nymphalidae,Erebia cassioides,Erebia calcarius,Laboratory
Nymphalidae,Erebia calcarius,Erebia tyndarus,Allopatric
Nymphalidae,Erebia tyndarus,Erebia cassioides,Laboratory
Nymphalidae,Phyciodes tharos,Phyciodes batesii,Laboratory
Nymphalidae,Phyciodes tharos,Phyciodes campestris,Laboratory
Nymphalidae,Phyciodes tharos,Phyciodes cocyta,Laboratory
Nymphalidae,Limenitis archippus,Limenitis arthemis,Field
Nymphalidae,Limenitis lorquini,Limenitis archippus,Field
Nymphalidae,Limenitis weidemeyerii,Limenitis archippus,Field
Nymphalidae,Anartia amathea,Anartia fatima,Field
Nymphalidae,Heliconius erato,Heliconius himera,Field
Nymphalidae,Heliconius cydno,Heliconius melponeme,Field
Nymphalidae,Heliconius ismenius,Heliconius cydno,Laboratory
Nymphalidae,Heliconius pachinus,Heliconius cydno,Field
Papilionidae,Papilio aegeus,Papilio macilentus,Allopatric
Papilionidae,Papilio alexiares,Papilio glaucus,Laboratory
Papilionidae,Papilio alphenor,Papilio polytes,Laboratory
Papilionidae,Papilio asterius,Papilio machaon,Laboratory
Papilionidae,Papilio bairdy,Papilio hippocrates,Laboratory
Papilionidae,Papilio bairdy,Papilio xuthus,Laboratory
Papilionidae,Papilio bairdy,Papilio polyxenes,Laboratory
Papilionidae,Papilio bianor,Papilio arcturus,Laboratory
Papilionidae,Papilio bianor,Papilio hippocrates,Laboratory
Papilionidae,Papilio bianor,Papilio maackii,Laboratory
Papilionidae,Papilio brevicauda,Papilio machaon,Allopatric
Papilionidae,Papilio brevicauda,Papilio polyxenes,Laboratory
Papilionidae,Papilio canadensis,Papilio glaucus,Field
Papilionidae,Papilio constantinus,Papilio phorcas,Field
Papilionidae,Papilio demoleus,Papilio hippocrates,Allopatric
Papilionidae,Papilio demoleus,Papilio maackii,Laboratory
Papilionidae,Papilio demoleus,Papilio xuthus,Laboratory
Papilionidae,Papilio eurymedon,Papilio glaucus,Laboratory
Papilionidae,Papilio eurymedon,Papilio rutulus,Field
Papilionidae,Papilio eurymedon,Papilio multicaudatus,Laboratory
Papilionidae,Papilio fuscus,Papilio macilentus,Allopatric
Papilionidae,Papilio glaucus,Papilio cleotus,Laboratory
Papilionidae,Papilio glaucus,Papilio multicaudatus,Laboratory
Papilionidae,Papilio glaucus,Papilio rutulus,Field
Papilionidae,Papilio glaucus,Papilio scamander,Laboratory
Papilionidae,Papilio glaucus,Papilio xuthus,Allopatric
Papilionidae,Papilio gothica,Papilio polyxenes,Laboratory
Papilionidae,Papilio helenus,Papilio aegeus,Allopatric
Papilionidae,Papilio helenus,Papilio hystaspes,Laboratory
Papilionidae,Papilio helenus,Papilio memnon,Laboratory
Papilionidae,Papilio helenus,Papilio nepheles,Laboratory
Papilionidae,Papilio helenus,Papilio protenor,Field
Papilionidae,Papilio hippocrates,Papilio aegeus,Allopatric
Papilionidae,Papilio hippocrates,Papilio bianor,Laboratory
Papilionidae,Papilio hippocrates,Papilio britannicus,Laboratory
Papilionidae,Papilio hippocrates,Papilio m. gorganus,Laboratory
Papilionidae,Papilio hippocrates,Papilio maackii,Laboratory
Papilionidae,Papilio hippocrates,Papilio macilentus,Laboratory
Papilionidae,Papilio hippocrates,Papilio polytes,Laboratory
Papilionidae,Papilio hippocrates,Papilio polyxenes,Allopatric
Papilionidae,Papilio hippocrates,Papilio protenor,Laboratory
Papilionidae,Papilio hippocrates,Papilio xuthus,Laboratory
Papilionidae,Papilio hippocrates,Papilio zelicaon,Allopatric
Papilionidae,Papilio maackii,Papilio aegeus,Allopatric
Papilionidae,Papilio machaon,Papilio asterius,Laboratory
Papilionidae,Papilio machaon,Papilio polyxenes,Field
Papilionidae,Papilio machaon,Papilio zelicaon,Field
Papilionidae,Papilio machaon,Papilio hospiton,Field
Papilionidae,Papilio memnon,Papilio ascalaphus,Laboratory
Papilionidae,Papilio memnon,Papilio macilentus,Field
Papilionidae,Papilio memnon,Papilio polymnestor,Field
Papilionidae,Papilio memnon,Papilio rumanzovia,Allopatric
Papilionidae,Papilio palamedes,Papilio scamander,Laboratory
Papilionidae,Papilio paris,Papilio bianor,Laboratory
Papilionidae,Papilio polyctor,Papilio bianor,Laboratory
Papilionidae,Papilio polyctor,Papilio maackii,Laboratory
Papilionidae,Papilio polymnestor,Papilio rumanzovia,Allopatric
Papilionidae,Papilio polytes,Papilio aegeus,Allopatric
Papilionidae,Papilio polytes,Papilio fuscus,Laboratory
Papilionidae,Papilio polytes,Papilio helenus,Laboratory
Papilionidae,Papilio polytes,Papilio hipponous,Laboratory
Papilionidae,Papilio polytes,Papilio ledebouria,Laboratory
Papilionidae,Papilio polytes,Papilio memnon,Laboratory
Papilionidae,Papilio polytes,Papilio nepheles,Laboratory
Papilionidae,Papilio polytes,Papilio protenor,Laboratory
Papilionidae,Papilio polyxenes,Papilio m. gorganus,Allopatric
Papilionidae,Papilio polyxenes,Papilio xuthus,Allopatric
Papilionidae,Papilio polyxenes,Papilio zelicaon,Field
Papilionidae,Papilio rutulus,Papilio multicaudatus,Field
Papilionidae,Papilio xuthus,Papilio aegeus,Allopatric
Papilionidae,Papilio xuthus,Papilio bianor,Laboratory
Papilionidae,Papilio xuthus,Papilio helenus,Laboratory
Papilionidae,Papilio xuthus,Papilio maackii,Laboratory
Papilionidae,Papilio xuthus,Papilio macilentus,Laboratory
Papilionidae,Papilio xuthus,Papilio memnon,Laboratory
Papilionidae,Papilio xuthus,Papilio paris,Laboratory
Papilionidae,Papilio xuthus,Papilio protenor,Laboratory
Pieridae,Anthocharis euphenoides,Anthocharis cardamines,Laboratory
Pieridae,Anthocharis cardamines,Euchloe ausonia,Laboratory
Pieridae,Anthocharis cardamines,Euchloe simplonia,Laboratory
Pieridae,Colias australis,Colias hyale,Laboratory
Pieridae,Colias crocea,Colias hyale,Field
Pieridae,Colias erate,Colias eurytheme,Allopatric
Pieridae,Colias eurytheme,Colias alexandra,Laboratory
Pieridae,Colias eurytheme,Colias philodice,Field
Pieridae,Colias eurytheme,Colias interior,Field
Pieridae,Pieris adalwinda,Pieris bryoniae,Laboratory
Pieridae,Pieris adalwinda,Pieris napi,Laboratory
Pieridae,Pieris bryoniae,Pieris dubiosa,Allopatric
Pieridae,Pieris bryoniae,Pieris napi,Laboratory
Pieridae,Pieris callidice,Pieris nelsoni,Allopatric
Pieridae,Pieris ergane,Pieris napi,Laboratory
Pieridae,Pieris flavenscens,Pieris bryoniae,Laboratory
Pieridae,Pieris manni,Pieris napi,Laboratory
Pieridae,Pieris manni,Pieris rapae,Laboratory
Pieridae,Pieris melete,Pieris napi,Allopatric
Pieridae,Pieris napi,Pieris dulcinea pseudonapi,Allopatric
Pieridae,Pieris nesis,Pieris napi,Allopatric
Pieridae,Pieris protodice,Pontia daplidice,Allopatric
Pieridae,Pieris rapae,Pieris napi,Laboratory
Pieridae,Pontia daplidice,Pieris rapae,Laboratory
Pieridae,Pontia edusa,Pontia daplidice,Allopatric
Rosidae,Ectropis bistortata,Ectropis crepuscularia,Allopatric
Saturniidae,Callosamia angulifera,Callosamia securifera,Laboratory
Saturniidae,Callosamia angulifera,Hyalophora cecropia,Laboratory
Saturniidae,Callosamia promethea,Callosamia angulifera,Laboratory
Saturniidae,Callosamia securifera,Callosamia promethea,Laboratory
Saturniidae,Hyalophora cecropia,Hyalophora gloveri,Field
Saturniidae,Hyalophora cercropia,Hyalophora nokomis,Field
Saturniidae,Hyalophora euryalis,Hyalophora cecropia,Field
Saturniidae,Hyalophora euryalis,Hyalophora gloveri,Field
Saturniidae,Saturnia mendocino,Saturnia walterorum,Field
Saturniidae,Saturnia pavonia,Saturnia spini,Laboratory
Saturniidae,Saturnia pavonia,Saturnia pyri,Laboratory
Sphingidae,Amorpha austauti,Smerinthus atlanticus,Laboratory
Sphingidae,Amorpha austauti,Smerinthus ocellata,Allopatric
Sphingidae,Amorpha populi,Smerinthus atlanticus,Laboratory
Sphingidae,Amorpha populi,Smerinthus ocellata,Field
Sphingidae,Celerio dalhi,Celerio galii,Laboratory
Sphingidae,Celerio elpenor,Celerio livornica,Laboratory
Sphingidae,Celerio euphorbiae,Celerio gallii,Laboratory
Sphingidae,Celerio euphorbiae,Celerio hippophaes,Laboratory
Sphingidae,Celerio euphorbiae,Celerio lineata,Allopatric
Sphingidae,Celerio euphorbiae,Celerio vespertilio,Laboratory
Sphingidae,Celerio euphorbiae,Deilephila elpenor,Laboratory
Sphingidae,Celerio euphorbiae,Deilephila porcellus,Laboratory
Sphingidae,Celerio galii,Celerio lineata,Laboratory
Sphingidae,Celerio galii,Celerio livornica,Laboratory
Sphingidae,Celerio galii,Celerio vespertillo,Laboratory
Sphingidae,Celerio galii,Deilephila elpenor,Laboratory
Sphingidae,Celerio hippophaes,Celerio galii,Laboratory
Sphingidae,Celerio hippophaes,Celerio lineata,Allopatric
Sphingidae,Celerio hippophaes,Celerio vespertillo,Laboratory
Sphingidae,Celerio hippophaes,Deilephila elpenor,Laboratory
Sphingidae,Celerio vespertilio,Deilephila elpenor,Laboratory
Sphingidae,Deilephelia elpenor,Celerio lineata,Allopatric
Sphingidae,Deilephelia elpenor,Deilephila porcellus,Field
Sphingidae,Deilephila porcellus,Celerio galii,Laboratory
Sphingidae,Smerinthus ocellata,Mimas tiliae,Laboratory
Tortricidae,Choristoneura biennis,Choristoneura fumiferana,Allopatric
Tortricidae,Choristoneura fumiferana,Choristoneura pinus,Allopatric
Tortricidae,Choristoneura occidentalis,Choristoneura fumiferana,Allopatric
Tortricidae,Choristoneura occidentalis,Choristoneura pinus,Allopatric
Tortricidae,Choristoneura occidentalis,Choristoneura retiniana,Allopatric
Tortricidae,Choristoneura retiniana,Choristoneura fumiferana,Laboratory
Tortricidae,Choristoneura retiniana,Choristoneura pinus,Allopatric
Yponomeutidae,Yponomeuta malinellus,Yponomeuta cagnagellus,Laboratory
Yponomeutidae,Yponomeuta cagnagellus,Yponomeuta padellus,Laboratory
Yponomeutidae,Yponomeuta malinellus,Yponomeuta padellus,Field